id,name,name_he,description
1,Geographic Depth,טיולי עומק גיאוגרפיים,In-depth geographical exploration tours
2,Carnivals & Festivals,קרנבלים ופסטיבלים,Cultural carnivals and festivals
3,African Safari,ספארי באפריקה,Wildlife safari adventures in Africa
4,Train Tours,טיולי רכבות,Scenic railway journeys
5,Geographic Cruises,טיולי שייט גיאוגרפיים,Maritime exploration cruises
6,Nature Hiking,טיולי הליכות בטבע,Nature walks and hiking
7,Jeep Tours,טיולי ג'יפים,4x4 off-road adventures
8,Snowmobile Tours,טיולי אופנועי שלג,Arctic snowmobile expeditions
9,Photography,טיולי צילום,Photography-focused tours
10,Private Groups,קבוצות סגורות,Exclusive private group tours
